epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,10482,0.7699,0.40097,0.97817,0.99036,0.97724,0.99338,0.84286,0.6694,0.32247,0.89638,0.000804277,0.000804277,0.000804277
46,10719,0.77467,0.40203,0.97875,0.99088,0.98021,0.99333,0.83892,0.69429,0.33006,0.90392,0.000795954,0.000795954,0.000795954
47,10953.8,0.77315,0.39764,0.98075,0.99104,0.9768,0.99336,0.83627,0.66574,0.33064,0.90139,0.000787503,0.000787503,0.000787503
48,11189.8,0.77666,0.39921,0.97961,0.99049,0.98059,0.99358,0.85238,0.64882,0.31624,0.89133,0.000778929,0.000778929,0.000778929
49,11427.3,0.74078,0.38756,0.967,0.98893,0.98135,0.99382,0.84672,0.64808,0.31533,0.89224,0.000770234,0.000770234,0.000770234
50,11664.5,0.75785,0.39391,0.97357,0.9892,0.97918,0.9938,0.84703,0.63901,0.31648,0.89124,0.000761423,0.000761423,0.000761423
51,11901.3,0.75418,0.39493,0.97915,0.98949,0.97925,0.99358,0.84543,0.64586,0.31876,0.89294,0.0007525,0.0007525,0.0007525
52,12137.2,0.73353,0.38304,0.96339,0.98932,0.98171,0.99411,0.85622,0.64255,0.31371,0.89389,0.000743468,0.000743468,0.000743468
53,12374.7,0.74213,0.38732,0.97003,0.98981,0.98127,0.99375,0.84848,0.67634,0.32284,0.89611,0.000734332,0.000734332,0.000734332
54,12610.5,0.73901,0.38558,0.96752,0.9917,0.98028,0.99401,0.85989,0.64672,0.31231,0.88951,0.000725094,0.000725094,0.000725094
55,12847,0.73483,0.38598,0.96471,0.98991,0.98151,0.99404,0.85764,0.63413,0.31149,0.88692,0.000715761,0.000715761,0.000715761
56,13085.1,0.73021,0.38309,0.96656,0.99046,0.9782,0.99345,0.83708,0.68804,0.32409,0.8979,0.000706335,0.000706335,0.000706335
57,13318.5,0.7306,0.38385,0.9662,0.99031,0.98235,0.99401,0.84737,0.67123,0.31754,0.89617,0.00069682,0.00069682,0.00069682
58,13550.1,0.73653,0.38457,0.97001,0.99033,0.98254,0.99402,0.85745,0.6337,0.31006,0.8881,0.000687222,0.000687222,0.000687222
