epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,5472.03,0.68069,0.37094,0.92821,0.98705,0.97968,0.99339,0.86167,0.61231,0.31491,0.88654,0.0007328,0.0007328,0.0007328
66,5556.69,0.66952,0.36522,0.92393,0.98764,0.97993,0.99343,0.86458,0.59847,0.31187,0.88204,0.000713,0.000713,0.000713
67,5641.07,0.67347,0.36606,0.92663,0.98734,0.97952,0.99335,0.86106,0.60786,0.31573,0.8844,0.0006932,0.0006932,0.0006932
68,5724.66,0.66313,0.36295,0.92551,0.98775,0.97881,0.99289,0.86419,0.60141,0.31183,0.8821,0.0006734,0.0006734,0.0006734
69,5808.77,0.66354,0.36348,0.92234,0.98897,0.97664,0.99274,0.86734,0.6015,0.31289,0.88141,0.0006536,0.0006536,0.0006536
70,5892.7,0.66978,0.36416,0.92516,0.98745,0.98043,0.99313,0.86831,0.59851,0.31034,0.88117,0.0006338,0.0006338,0.0006338
71,5976.63,0.66192,0.36164,0.92047,0.98632,0.98097,0.99297,0.87011,0.59437,0.31092,0.87892,0.000614,0.000614,0.000614
72,6061.48,0.65214,0.35824,0.91759,0.98899,0.98018,0.99325,0.86956,0.58933,0.30789,0.8775,0.0005942,0.0005942,0.0005942
73,6145.71,0.65641,0.35993,0.91919,0.98978,0.97863,0.99332,0.86775,0.58978,0.30799,0.87856,0.0005744,0.0005744,0.0005744
74,6228.61,0.65508,0.35961,0.91573,0.99006,0.97701,0.99309,0.87069,0.58504,0.30549,0.876,0.0005546,0.0005546,0.0005546
75,6312.05,0.64184,0.35443,0.91513,0.98955,0.97734,0.99338,0.87242,0.58123,0.30499,0.87602,0.0005348,0.0005348,0.0005348
76,6395.57,0.64278,0.35333,0.91433,0.9893,0.97936,0.99382,0.87253,0.57862,0.30361,0.87512,0.000515,0.000515,0.000515
77,6479.65,0.64469,0.35394,0.915,0.98939,0.97853,0.99348,0.87538,0.57019,0.3007,0.8722,0.0004952,0.0004952,0.0004952
78,6564.28,0.63623,0.34969,0.91483,0.98965,0.98008,0.99353,0.87778,0.56719,0.29881,0.87221,0.0004754,0.0004754,0.0004754
79,6649.47,0.63446,0.34923,0.90861,0.99108,0.98018,0.99368,0.87509,0.57748,0.30117,0.87512,0.0004556,0.0004556,0.0004556
80,6733.79,0.6313,0.34805,0.90956,0.98997,0.97959,0.99346,0.8785,0.57178,0.2989,0.87257,0.0004358,0.0004358,0.0004358
81,6817.71,0.63593,0.34946,0.91079,0.9883,0.98097,0.99357,0.87436,0.57455,0.30002,0.87244,0.000416,0.000416,0.000416
82,6902.07,0.6341,0.34858,0.90884,0.98829,0.98136,0.99356,0.88077,0.55831,0.29459,0.868,0.0003962,0.0003962,0.0003962
83,6985.77,0.63324,0.34765,0.91298,0.98946,0.98077,0.99373,0.87858,0.56204,0.29496,0.87011,0.0003764,0.0003764,0.0003764
84,7069.86,0.62647,0.34355,0.91099,0.98922,0.98146,0.99376,0.88296,0.55888,0.29414,0.86871,0.0003566,0.0003566,0.0003566
85,7154.55,0.61967,0.34266,0.90849,0.99105,0.98214,0.99393,0.87889,0.55591,0.29361,0.86898,0.0003368,0.0003368,0.0003368
86,7238.98,0.6182,0.342,0.90608,0.98852,0.98038,0.9937,0.88154,0.55232,0.29144,0.86661,0.000317,0.000317,0.000317
87,7323.48,0.62097,0.34247,0.90711,0.98953,0.98239,0.99354,0.88254,0.55282,0.29028,0.86725,0.0002972,0.0002972,0.0002972
88,7408.64,0.61582,0.3395,0.90597,0.98991,0.98129,0.99377,0.8791,0.55154,0.29051,0.86748,0.0002774,0.0002774,0.0002774
89,7493.39,0.61296,0.3393,0.90384,0.9901,0.98141,0.99387,0.88569,0.54761,0.28881,0.8649,0.0002576,0.0002576,0.0002576
90,7578.53,0.6078,0.33673,0.90421,0.99107,0.98165,0.99388,0.88191,0.54653,0.28672,0.86618,0.0002378,0.0002378,0.0002378
91,7654.77,0.57277,0.31114,0.8832,0.98845,0.98234,0.99376,0.86812,0.5572,0.29322,0.86783,0.000218,0.000218,0.000218
92,7730.86,0.55095,0.301,0.87805,0.98896,0.98067,0.99373,0.87088,0.55454,0.29234,0.86782,0.0001982,0.0001982,0.0001982
93,7806.74,0.54691,0.29918,0.87636,0.9904,0.9819,0.99386,0.87319,0.54658,0.28984,0.86582,0.0001784,0.0001784,0.0001784
94,7882.43,0.54301,0.29778,0.8722,0.9906,0.98217,0.99392,0.87369,0.54191,0.28681,0.86424,0.0001586,0.0001586,0.0001586
95,7958,0.54241,0.29759,0.87211,0.98913,0.98242,0.99381,0.87408,0.54056,0.28712,0.86406,0.0001388,0.0001388,0.0001388
96,8033.49,0.53453,0.29473,0.8715,0.9909,0.98269,0.99382,0.87611,0.53713,0.28447,0.86315,0.000119,0.000119,0.000119
97,8109.55,0.53088,0.2926,0.86782,0.98971,0.98283,0.99379,0.87723,0.53416,0.28296,0.86249,9.92e-05,9.92e-05,9.92e-05
98,8184.73,0.52812,0.29058,0.86857,0.99109,0.98235,0.99381,0.87676,0.53364,0.28323,0.86206,7.94e-05,7.94e-05,7.94e-05
99,8260.65,0.52324,0.28852,0.86851,0.98965,0.98371,0.99392,0.87926,0.52985,0.28208,0.86079,5.96e-05,5.96e-05,5.96e-05
100,8336.35,0.52104,0.28839,0.86687,0.9904,0.98225,0.99389,0.87998,0.52686,0.28142,0.86024,3.98e-05,3.98e-05,3.98e-05
